"","SG_PARTIDO","DT_PAGAMENTO","VR_PAGAMENTO"
"230","MDB","04/11/2018",1852
"231","MDB","04/12/2018",11064
"232","MDB","05/01/2018",2540
"233","MDB","05/02/2018",8022
"234","MDB","05/03/2018",2476
"235","MDB","05/04/2018",3300
"236","MDB","05/06/2018",7260
"237","MDB","05/07/2018",3269
"238","MDB","05/09/2018",4570
"239","MDB","05/10/2018",10501
"240","MDB","05/11/2018",5259
"241","MDB","05/12/2018",13292
"242","MDB","06/02/2018",13238
"243","MDB","06/03/2018",2766
"244","MDB","06/04/2018",3587
"245","MDB","06/06/2018",4199
"246","MDB","06/07/2018",3911
"247","MDB","06/08/2018",4958
"248","MDB","06/09/2018",3522
"249","MDB","06/10/2018",2121
"250","MDB","06/11/2018",14856
"251","MDB","06/12/2018",1835
"252","MDB","07/02/2018",2721
"253","MDB","07/03/2018",324
"254","MDB","07/05/2018",1837
"255","MDB","07/06/2018",2860
"256","MDB","07/07/2018",3937
"257","MDB","07/08/2018",6246
"258","MDB","07/11/2018",4300
"259","MDB","07/12/2018",12459
"260","MDB","08/01/2018",3945
"261","MDB","08/03/2018",1696
"262","MDB","08/05/2018",7554
"263","MDB","08/06/2018",8058
"264","MDB","08/08/2018",4517
"265","MDB","08/10/2018",5603
"266","MDB","08/11/2018",7012
"267","MDB","09/01/2018",2367
"268","MDB","09/02/2018",7135
"269","MDB","09/03/2018",2766
"270","MDB","09/04/2018",5112
"271","MDB","09/05/2018",3503
"272","MDB","09/07/2018",2810
"273","MDB","09/08/2018",8198
"274","MDB","09/10/2018",10624
"275","MDB","09/11/2018",4751
"276","MDB","10/01/2018",1939
"277","MDB","10/04/2018",6117
"278","MDB","10/05/2018",5183
"279","MDB","10/07/2018",2235
"280","MDB","10/08/2018",6124
"281","MDB","10/09/2018",6824
"282","MDB","10/10/2018",5700
"283","MDB","10/12/2018",5454
"284","MDB","11/01/2018",2419
"285","MDB","11/02/2018",2757
"286","MDB","11/04/2018",3386
"287","MDB","11/05/2018",5288
"288","MDB","11/06/2018",4768
"289","MDB","11/07/2018",3559
"290","MDB","11/08/2018",852
"291","MDB","11/09/2018",5280
"292","MDB","11/10/2018",9263
"293","MDB","11/12/2018",3949
"294","MDB","12/01/2018",1837
"295","MDB","12/03/2018",2685
"296","MDB","12/04/2018",3946
"297","MDB","12/05/2018",1918
"298","MDB","12/06/2018",3896
"299","MDB","12/07/2018",2996
"300","MDB","12/09/2018",3818
"301","MDB","12/11/2018",2114
"302","MDB","12/12/2018",31
"303","MDB","13/03/2018",3213
"304","MDB","13/04/2018",2690
"305","MDB","13/05/2018",963
"306","MDB","13/06/2018",1687
"307","MDB","13/07/2018",6639
"308","MDB","13/08/2018",12167
"309","MDB","13/09/2018",24365
"310","MDB","13/11/2018",666
"311","MDB","13/12/2018",934
"312","MDB","14/02/2018",2762
"313","MDB","14/03/2018",8159
"314","MDB","14/04/2018",449
"315","MDB","14/05/2018",2428
"316","MDB","14/06/2018",3749
"317","MDB","14/07/2018",4003
"318","MDB","14/08/2018",6512
