"","Cod_setor","Cod_Grandes.Regiões","Nome_Grande_Regiao","Cod_UF","Nome_da_UF","Cod_meso","Nome_da_meso","Cod_micro","Nome_da_micro","Cod_RM","Nome_da_RM","Cod_municipio","Nome_do_municipio","Cod_distrito","Nome_do_distrito","Cod_subdistrito","Nome_do_subdistrito","Cod_bairro","Nome_do_bairro","Situacao_setor","Tipo_setor","V001","V002","V003","V004","V005","V006","V007","V008","V009","V010","V011","V012","X34"
"31",250970105000031,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,147,474,3.22,4.35,489.9,289878.74,503.6,291094.66,277.49,195645.98,429.79,237730.16,NA
"32",250970105000032,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,101,290,2.87,2.35,338.72,40493.76,360.12,35292.55,213.66,48279.41,322.41,37726.99,NA
"33",250970105000033,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,74,236,3.19,3.2,411.65,153939.77,483.52,145937.77,229.87,106642.42,462.13,107067.1,NA
"34",250970105000034,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,56,215,3.84,2.86,476.07,25878.83,476.07,25878.83,298.53,152921.45,433.8,163615.72,NA
"35",250970105000035,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,193,607,3.15,2.04,416.74,83083.96,470.36,68469.11,244.15,78417.88,412.58,62977.31,NA
"36",250970105000036,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,106,357,3.37,2.98,350.24,106694.51,399.19,102014.88,217.17,84518.82,373,87053.61,NA
"37",250970105000037,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,195,616,3.16,3.31,467.58,1166331.05,487.59,1206689.86,267.32,494333.14,389.59,673308.53,NA
"38",250970105000038,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,107,351,3.28,2.2,439.68,257996.97,490.06,262920.94,268.6,137455.67,393.77,152296.53,NA
"39",250970105000039,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,80,286,3.58,2.88,402.14,68536.65,453.11,53921.04,222.2,70811.76,376.84,61755.96,NA
"40",250970105000040,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,328,1136,3.46,3.18,399.3,100355.62,440.98,92424.89,232.28,79545.26,380.8,73840.63,NA
"41",250970105000041,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,142,498,3.51,2.96,370.62,65563.12,392.75,60751.3,218.29,63400.02,339.03,57512.62,NA
"42",250970105000042,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,355,1218,3.43,2.72,306.77,70050.24,397.46,54656.83,208.46,67397.38,378.88,57912.21,NA
"43",250970105000043,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,309,1004,3.25,2.27,426.04,209643.85,510.26,208106.26,264,157145.01,464.43,183424.74,NA
"44",250970105000044,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,181,522,2.88,2.18,517.89,183198.43,544.99,177985.52,334.07,175301.05,500.55,179341.33,NA
"45",250970105000045,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,239,761,3.18,2.96,369.79,105163.75,470.11,86432.52,217.7,83844.01,452.57,67956.37,NA
"46",250970105000046,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,210,660,3.14,1.93,776.04,12354996.18,964.31,15187573.11,489.26,4918850.45,766.84,7504040.2,NA
"47",250970105000047,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,197,674,3.42,2.25,274.3,114322.07,486.83,99297.63,190.82,191328.88,492.07,345857.7,NA
"48",250970105000048,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,236,848,3.59,3.37,385.18,119856.69,443.42,112115.72,214.07,83295.35,363.33,87151.59,NA
"49",250970105000049,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",5,0,44,145,3.3,1.84,344.05,132647.72,398.37,131932.73,216.32,84503.8,373.93,87175.55,NA
"50",250970105000050,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",5,0,15,45,3,1.57,486.67,127307.24,561.54,102978.1,281.57,99792.75,385.85,96388.67,NA
